description,descriptionOffset,descriptionWeight,effect,low,high,overrideLabel0,overrideLabel0Weight,overrideLabel1,overrideLabel1Weight,refLinePos,refLinePos2,title,xlabel,symbolsize,symboltype,symbolcolor
PCSK9 score above median,,bold,0.92,0.88,0.95,0.92 (0.88 - 0.95) ,,0.92 (0.88 - 0.95) ,,1,99999,Forest Plot,RR,3,s,black
 Quartile of PCSK9 scores,,,99999,99999,99999,                                       ,,                                       ,,,,An example,,,,
4,1,,0.89,0.84,0.94,0.89 (0.84 - 0.94) ,,0.89 (0.84 - 0.94) ,,,,,,4,c,orange
3,1,,0.93,0.88,0.98,0.93 (0.88 - 0.98) ,,0.93 (0.88 - 0.98) ,,,,,,6,d,blue
2,1,,0.97,0.91,1.03,0.97 (0.91 - 1.03) ,,0.97 (0.91 - 1.03) ,,,,,,4,t,green
1,1,,1,1,1,Reference ,,Second Ref,,,,,,3,l,black
