FIPS,label,type,value,title
5133,AR,county,25.3,
5135,AR,county,25.3,
5137,AR,county,25.3,
5139,AR,county,21.5,
5141,AR,county,25.3,
5143,AR,county,22,
5145,AR,county,29.1,
5147,AR,county,25.3,
5149,AR,county,25.3,
5999,AR,county,25.3,
,AZ,county,24.6,
4001,AZ,county,13.3,
4003,AZ,county,22,
4005,AZ,county,25.6,
4007,AZ,county,20.8,
4009,AZ,county,24.6,
4011,AZ,county,24.6,
4012,AZ,county,24.6,
4013,AZ,county,36.6,
4015,AZ,county,34.2,
4017,AZ,county,23,
4019,AZ,county,30.3,
4021,AZ,county,35,
4023,AZ,county,24.6,
4025,AZ,county,28.1,
4027,AZ,county,31.3,
4999,AZ,county,24.6,
,CA,county,34.9,
6001,CA,county,29,
6003,CA,county,34.9,
6005,CA,county,23.6,
6007,CA,county,33.8,
6009,CA,county,35.9,
6011,CA,county,34.9,
6013,CA,county,32.3,
6015,CA,county,18.9,
6017,CA,county,31.4,
6019,CA,county,29.9,
6021,CA,county,34.9,
6023,CA,county,25,
6025,CA,county,37.7,
6027,CA,county,34.9,
6029,CA,county,37,
6031,CA,county,23.1,
6033,CA,county,27.3,
6035,CA,county,34.9,
6037,CA,county,35.7,
6039,CA,county,30.6,
6041,CA,county,34.4,
6043,CA,county,34.9,
6045,CA,county,32.3,
6047,CA,county,29.4,
6049,CA,county,34.9,
6051,CA,county,34.9,
6053,CA,county,34.9,
6055,CA,county,31.2,
6057,CA,county,26.3,
6059,CA,county,36.4,
6061,CA,county,28.7,
6063,CA,county,34.9,
6065,CA,county,35.4,
6067,CA,county,22.8,
6069,CA,county,34.9,
6071,CA,county,29.3,
6073,CA,county,34.2,
6075,CA,county,24.7,
6077,CA,county,34.5,
6079,CA,county,38.2,
6081,CA,county,38.6,
6083,CA,county,32.2,
6085,CA,county,37.4,
6087,CA,county,31,
6089,CA,county,29.8,
6091,CA,county,34.9,
6093,CA,county,23.2,
6095,CA,county,28.7,
6097,CA,county,31.6,
6099,CA,county,32.7,
6101,CA,county,30.8,
6103,CA,county,29.5,
6105,CA,county,34.9,
6107,CA,county,33.6,
6109,CA,county,31.2,
6111,CA,county,37.5,
6113,CA,county,24.4,
6115,CA,county,30.3,
6999,CA,county,34.9,
8001,CO,county,24,
8003,CO,county,25.9,
8005,CO,county,32.1,
8007,CO,county,25.9,
8009,CO,county,25.9,
8011,CO,county,25.9,
8013,CO,county,27.5,
8014,CO,county,25.9,
8015,CO,county,25.9,
8017,CO,county,25.9,
8019,CO,county,25.9,
8021,CO,county,25.9,
8023,CO,county,25.9,
8025,CO,county,25.9,
8027,CO,county,25.9,
8029,CO,county,25.9,
8031,CO,county,23.9,
8033,CO,county,25.9,
8035,CO,county,37.5,
8037,CO,county,25.9,
8039,CO,county,25.9,
8041,CO,county,33,
8043,CO,county,25.9,
8045,CO,county,25.9,
8047,CO,county,25.9,
8049,CO,county,25.9,
8051,CO,county,25.9,
8053,CO,county,25.9,
8055,CO,county,25.9,
8057,CO,county,25.9,
8059,CO,county,21.9,
8061,CO,county,25.9,
8063,CO,county,25.9,
8065,CO,county,25.9,
8067,CO,county,25.9,
8069,CO,county,28.7,
8071,CO,county,25.9,
8073,CO,county,25.9,
8075,CO,county,25.9,
8077,CO,county,19,
8079,CO,county,25.9,
8081,CO,county,25.9,
8083,CO,county,25.9,
8085,CO,county,25.9,
8087,CO,county,25.9,
8089,CO,county,25.9,
8091,CO,county,25.9,
8093,CO,county,25.9,
8095,CO,county,25.9,
8097,CO,county,25.9,
8099,CO,county,25.9,
8101,CO,county,15.5,
8103,CO,county,25.9,
8105,CO,county,25.9,
8107,CO,county,25.9,
8109,CO,county,25.9,
8111,CO,county,25.9,
8113,CO,county,25.9,
8115,CO,county,25.9,
8117,CO,county,25.9,
8119,CO,county,25.9,
8121,CO,county,25.9,
8123,CO,county,24,
8125,CO,county,25.9,
8999,CO,county,25.9,
9001,CT,county,34.5,
9003,CT,county,25.7,
9005,CT,county,36.2,
9007,CT,county,35.4,
9009,CT,county,27.2,
9011,CT,county,27.1,
9013,CT,county,28,
9015,CT,county,27.4,
11001,DC,county,25.2,
10001,DE,county,34.2,
10003,DE,county,26.1,
10005,DE,county,31,
10019,DE,county,99999,
10999,DE,county,99999,
,FL,county,32.1,
12001,FL,county,28.5,
12003,FL,county,32.1,
12005,FL,county,21.7,
12007,FL,county,32.1,
12009,FL,county,38.6,
12011,FL,county,41.6,
12013,FL,county,32.1,
12015,FL,county,38.5,
12017,FL,county,36.2,
12019,FL,county,43.8,
12021,FL,county,37.5,
12023,FL,county,29.2,
12027,FL,county,32.1,
12029,FL,county,32.1,
12031,FL,county,34.9,
12033,FL,county,26.4,
12035,FL,county,43.7,
12037,FL,county,32.1,
12039,FL,county,32.1,
12041,FL,county,32.1,
12043,FL,county,32.1,
12045,FL,county,32.1,
12047,FL,county,32.1,
12049,FL,county,32.1,
12051,FL,county,32.1,
12053,FL,county,38,
12055,FL,county,34.2,
12057,FL,county,34.8,
12059,FL,county,32.1,
12061,FL,county,35.1,
12063,FL,county,32.1,
12065,FL,county,32.1,
